Linea: 100, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:33:290 
Linea: 101, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:34:023 
Linea: 102, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:34:023 
Linea: 103, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:34:585 
Linea: 104, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:34:585 
Linea: 105, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:35:037 
Linea: 106, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:35:037 
Linea: 107, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:35:630 
Linea: 108, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:35:630 
Linea: 109, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:36:082 
Linea: 110, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:36:082 
Linea: 111, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:36:566 
Linea: 112, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:36:566 
Linea: 113, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:37:096 
Linea: 114, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:37:096 
Linea: 115, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:37:627 
Linea: 116, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:37:642 
Linea: 117, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:38:032 
Linea: 118, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:38:032 
Linea: 119, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:38:563 
Linea: 120, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:38:563 
Linea: 121, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:39:280 
Linea: 122, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:39:280 
Linea: 123, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:39:826 
Linea: 124, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:39:826 
Linea: 125, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:40:481 
Linea: 126, Codigo: 01, Fecha: 2016/03/11, tipo: 0220, Hora: 07:05:40:481 
Linea: 127, Codigo: 01, Fecha: 2016/03/11, tipo: 0230, Hora: 07:05:40:934 
Linea: 133, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 07:08:03:503 
Linea: 134, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 07:08:04:111  Respuesta del Core: 00
Linea: 139, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 07:13:33:303 
Linea: 140, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 07:13:34:161  Respuesta del Core: 00
Linea: 145, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 07:17:25:665 
Linea: 146, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 07:17:26:414  Respuesta del Core: 00
Linea: 149, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 07:21:47:496 
Linea: 150, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 07:21:48:182  Respuesta del Core: 00
Linea: 159, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 07:36:10:006 
Linea: 160, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 07:36:11:176  Respuesta del Core: 00
Linea: 161, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 07:36:54:123 
Linea: 162, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 07:36:55:808  Respuesta del Core: 00
Linea: 169, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 07:42:28:463 
Linea: 170, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 07:42:29:461  Respuesta del Core: 00
Linea: 171, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 07:42:49:725 
Linea: 172, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 07:42:50:490  Respuesta del Core: 00
Linea: 192, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 07:57:57:631  Respuesta del Core: 00
Linea: 191, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 07:57:56:742 
Linea: 203, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:08:06:344 
Linea: 204, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:08:07:171  Respuesta del Core: 00
Linea: 205, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:08:45:750 
Linea: 206, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:08:46:437  Respuesta del Core: 00
Linea: 207, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:08:51:210 
Linea: 208, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:08:52:068  Respuesta del Core: 00
Linea: 209, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:10:19:444 
Linea: 210, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:10:20:161  Respuesta del Core: 00
Linea: 223, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:19:18:986 
Linea: 224, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:19:19:844  Respuesta del Core: 00
Linea: 231, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:22:47:559 
Linea: 232, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:22:48:620  Respuesta del Core: 00
Linea: 233, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:23:08:369 
Linea: 234, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:23:09:056  Respuesta del Core: 00
Linea: 235, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:23:21:645 
Linea: 236, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:23:22:269  Respuesta del Core: 00
Linea: 239, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:24:00:442 
Linea: 240, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:24:01:129  Respuesta del Core: 00
Linea: 253, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:31:07:430 
Linea: 254, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:31:08:257  Respuesta del Core: 00
Linea: 263, Codigo: 01, Fecha: 2016/03/11, tipo: 0200, Hora: 08:39:39:969 
Linea: 264, Codigo: 01, Fecha: 2016/03/11, tipo: 0210, Hora: 08:39:40:859  Respuesta del Core: 00
